latitud,longitud,identificador
-34.891856,-58.134144,LP10439
-34.886800,-58.131574,LP10443
-34.888134,-58.132786,LP10445
-34.889353,-58.134283,LP10447
-34.889029,-58.127918,LP10719
-34.890433,-58.129592,LP10721
-34.891749,-58.131190,LP10723
-34.893060,-58.132601,LP10725
-34.928212,-57.959229,LP10137
-34.889490,-58.123989,LP10401
-34.888090,-58.127002,LP10407
-34.889832,-58.122818,LP10409
-34.888931,-58.126646,LP10411
-34.886526,-58.128479,LP10423
-34.870043,-58.098196,LP10467
-34.871416,-58.099827,LP10473
-34.874409,-58.103453,LP10475
-34.876654,-58.105975,LP10479
-34.879329,-58.108968,LP10485
-34.880843,-58.110963,LP10487
-34.883475,-58.114011,LP10491
-34.886256,-58.117475,LP10495
-34.887824,-58.119127,LP10497
-34.889760,-58.121412,LP10499
-34.873353,-58.102134,LP10505
-34.929003,-57.958149,LP10139
-34.930498,-57.956261,LP10141
-34.925565,-57.955573,LP11069
-34.927518,-57.957643,LP11070
-34.928424,-57.958641,LP11071
-34.932887,-57.953509,LP2781
-34.933889,-57.951776,LP2783
-34.935464,-57.949534,LP2785
-34.885602,-58.129799,LP10421
-34.881460,-58.064606,LP10522
-34.884131,-58.065545,LP10524
-34.879586,-58.063274,LP10528
-34.892453,-58.009390,LP10650
-34.885711,-58.065968,LP10713
-34.886319,-58.063409,LP10715
-34.886291,-58.060941,LP11666
-34.895208,-58.023946,LP11670
-34.894586,-58.017869,LP2397
-34.892976,-58.019945,LP2399
-34.894091,-58.022974,LP2535
-34.886810,-58.058606,LP2901
-34.887101,-58.057340,LP2903
-34.887343,-58.056084,LP2905
-34.887981,-58.053579,LP2907
-34.888509,-58.051300,LP2909
-34.889204,-58.048290,LP2911
-34.889799,-58.045898,LP2913
-34.890357,-58.043456,LP2915
-34.890944,-58.041050,LP2919
-34.891239,-58.039776,LP2921
-34.891811,-58.037443,LP2923
-34.892399,-58.034820,LP2925
-34.892934,-58.032589,LP2927
-34.893510,-58.029815,LP2929
-34.894073,-58.027618,LP2931
-34.894950,-58.024531,LP2935
-34.897065,-58.014486,LP3419
-34.895120,-58.012410,LP3421
-34.893395,-58.010377,LP3423
-34.881272,-58.064642,LP10523
-34.884070,-58.065671,LP10525
-34.886458,-58.061198,LP10547
-34.885794,-58.065997,LP10712
-34.886380,-58.063621,LP10714
-34.897038,-58.014185,LP11530
-34.894488,-58.018230,LP2396
-34.893010,-58.020409,LP2398
-34.892484,-58.021347,LP2534
-34.894464,-58.023089,LP2536
-34.886926,-58.059021,LP2900
-34.887261,-58.057648,LP2902
-34.887498,-58.056468,LP2904
-34.888062,-58.053909,LP2906
-34.888616,-58.051672,LP2908
-34.889324,-58.048518,LP2910
-34.889879,-58.046136,LP2912
-34.890437,-58.043658,LP2914
-34.890750,-58.042475,LP2916
-34.891027,-58.041415,LP2918
-34.891335,-58.040159,LP2920
-34.891864,-58.037644,LP2922
-34.892440,-58.035402,LP2924
-34.892964,-58.033025,LP2926
-34.893492,-58.030805,LP2928
-34.894099,-58.027999,LP2930
-34.895348,-58.024109,LP2934
-34.895445,-58.012407,LP3420
-34.893643,-58.010549,LP3422
-34.892338,-58.009092,LP3424
-34.876857,-58.017775,LP10894
-34.880083,-58.010844,LP10896
-34.881289,-58.008194,LP10898
-34.882925,-58.006027,LP10900
-34.886878,-58.000968,LP10906
-34.888785,-57.998371,LP10907
-34.891228,-57.995366,LP10910
-34.885827,-58.002346,LP3511
-34.878645,-58.014143,LP3521
-34.877622,-58.016409,LP3522
-34.876132,-58.019915,LP3523
-34.856841,-58.072347,LP`10872
-34.851489,-58.076689,LP10451
-34.852452,-58.077674,LP10453
-34.853668,-58.078609,LP10853
-34.855251,-58.075468,LP10868
-34.856119,-58.074057,LP10869
-34.859746,-58.067116,LP10874
-34.861652,-58.060309,LP10876
-34.863466,-58.049585,LP10878
-34.864408,-58.045562,LP10880
-34.866077,-58.041925,LP10882
-34.870970,-58.031674,LP10886
-34.872329,-58.028478,LP10888
-34.873600,-58.025822,LP10890
-34.862038,-58.056105,LP10912
-34.862601,-58.053509,LP10914
-34.850429,-58.076535,LP10450
-34.867586,-58.038932,LP10884
-34.852064,-58.079569,LP11704
-34.851492,-58.082515,LP11706
-34.850964,-58.084639,LP11707
-34.850130,-58.087793,LP11708
-34.850376,-58.078938,LP11000
-34.885405,-58.129649,LP10422
-34.886738,-58.127997,LP10424
-34.880621,-58.010504,LP10895
-34.887153,-58.001176,LP10905
-34.889030,-57.998517,LP10908
-34.891087,-57.995769,LP10909
-34.885934,-58.002568,LP3510
-34.883778,-58.005482,LP3512
-34.882625,-58.006951,LP3514
-34.878755,-58.014279,LP3520
-34.877572,-58.017025,LP3524
-34.863696,-58.049273,LP`10877
-34.854319,-58.077826,LP10852
-34.858073,-58.070876,LP10871
-34.860076,-58.067298,LP10873
-34.861957,-58.059107,LP10875
-34.871126,-58.031926,LP10885
-34.872657,-58.028449,LP10887
-34.874333,-58.024399,LP10889
-34.876115,-58.020601,LP10891
-34.862345,-58.055831,LP10911
-34.863071,-58.053459,LP10913
-34.893089,-57.993478,LP11734
-34.884449,-58.131054,LP10419
-34.878880,-58.108880,LP10483
-34.885320,-58.129896,LP12800
-34.884308,-58.032321,LP10623
-34.896023,-57.988984,LP10109
-34.872836,-58.028364,LP10617
-34.876590,-58.029684,LP10619
-34.880397,-58.030982,LP10621
-34.897715,-57.978423,LP10755
-34.888029,-57.997147,LP11014
-34.890757,-57.993381,LP11015
-34.893247,-57.990141,LP11016
