Nombre,Hora,Diferencia_Minutos
[BC] CEMENT. X BELG. A C BELL,19:52:45,2
[C] CEMENT. POR BELG. A GORINA,19:55:44,3
[A1] CEMENT. L.P. A 32 Y 120,19:56:44,1
[D] X CENTENARIO A SEGUI,19:56:44,0
[G] X 19 X BELGRANO A.SEGUI,20:02:18,6
[HX28] CLUB.EST. A ARCO.,20:04:44,2
[B11] CEMENT. X BELG. A C BELL,20:08:45,4
[D] X CENTENARIO A SEGUI,20:16:44,8
[C] CEMENT. POR BELG. A GORINA,20:18:44,2
[BG]CEMENT X BELG. A GUTIERREZ,20:23:45,5
[F] X19 X CENTENARIO A GORINA,20:27:47,4
[A1] CEMENT. L.P. A 32 Y 120,20:28:44,1
[HX28] CLUB.EST. A ARCO.,20:31:44,3
[G] X 19 X BELGRANO A.SEGUI,20:32:18,1
[BC] CEMENT. X BELG. A C BELL,20:39:19,7
[I] X CENTENARIO LOS PORTEÑOS,20:43:18,4
[D] X CENTENARIO A SEGUI,20:44:18,1
[C] CEMENT. POR BELG. A GORINA,20:46:19,2
[B11] CEMENT. X BELG. A C BELL,20:50:19,4
[A1] CEMENT. L.P. A 32 Y 120,20:54:18,4
[G] X 19 X BELGRANO A.SEGUI,20:59:18,5
[BG]CEMENT X BELG. A GUTIERREZ,21:08:19,9
[F] X19 X CENTENARIO A GORINA,21:09:20,1
[D] X CENTENARIO A SEGUI,21:11:18,2
[HX28] CLUB.EST. A ARCO.,21:13:18,2
[A1] CEMENT. L.P. A 32 Y 120,21:21:18,8
[BC] CEMENT. X BELG. A C BELL,21:33:19,12
[D] X CENTENARIO A SEGUI,21:38:18,5
[G] X 19 X BELGRANO A.SEGUI,21:43:18,5
[I] X CENTENARIO LOS PORTEÑOS,21:48:18,5
[C] CEMENT. POR BELG. A GORINA,21:53:19,5
[A1] CEMENT. L.P. A 32 Y 120,22:08:18,15
[D] X CENTENARIO A SEGUI,22:08:18,0
[BC] CEMENT. X BELG. A C BELL,22:23:19,15
[F] X19 X CENTENARIO A GORINA,22:33:20,10
[D] X CENTENARIO A SEGUI,22:48:18,15
[G] X 19 X BELGRANO A.SEGUI,22:53:18,5
[D] X CENTENARIO A SEGUI,23:18:18,25
[G] X 19 X BELGRANO A.SEGUI,23:39:18,21
[4] A V.ELISA X BELGRANO,05:39:06,339
[4] A V.ELISA X BELGRANO,06:39:06,60
[TOP] A V. ELISA X CENTENARIO,07:44:09,65
[4] A V.ELISA X BELGRANO,07:51:07,7
[TOP] A V. ELISA X CENTENARIO,08:18:09,27
[4] A V.ELISA X BELGRANO,08:51:07,33
[TOP] A V. ELISA X CENTENARIO,08:52:09,1
[TOP] A V. ELISA X CENTENARIO,09:26:09,34
